
13-02-2018 09:56:00:768 - D: 	Executing bot with following commands python.exe "bot.py" B "C:\Users\Dafi Faraz\Documents\GitHub\tubes1Stima\Game Engine\Replays\2018-02-13 09-55-54-109\Phase 2 - Round 27\B"
13-02-2018 09:56:00:768 - I: 	Executing process python.exe "bot.py" B "C:\Users\Dafi Faraz\Documents\GitHub\tubes1Stima\Game Engine\Replays\2018-02-13 09-55-54-109\Phase 2 - Round 27\B"
13-02-2018 09:56:00:768 - I: 	Bot has 4000ms to run before it will be forcefully killed
13-02-2018 09:56:00:831 - I: 	Output from bot: data file 1 0 target
13-02-2018 09:56:00:831 - I: 	Output from bot: missed
13-02-2018 09:56:00:831 - I: 	Output from bot: isi stack
13-02-2018 09:56:00:831 - I: 	Output from bot: 1 4
13-02-2018 09:56:00:831 - I: 	Output from bot: 5 0
13-02-2018 09:56:00:831 - I: 	Output from bot: 2 5
13-02-2018 09:56:00:831 - I: 	Output from bot: 3 6
13-02-2018 09:56:00:831 - I: 	Output from bot: 4 5
13-02-2018 09:56:00:831 - I: 	Output from bot: 5 4
13-02-2018 09:56:00:831 - I: 	Output from bot: 5 2
13-02-2018 09:56:00:831 - I: 	Output from bot: 6 3
13-02-2018 09:56:00:831 - I: 	Output from bot: current mode : target
13-02-2018 09:56:00:831 - I: 	Output from bot: 
13-02-2018 09:56:00:831 - E: 	Output from bot: 
13-02-2018 09:56:00:831 - I: 	Your bots total execution time was 00:00:00.0711502
