
12-02-2018 17:24:06:980 - I: 	Loaded bot ..\Reference Bots\upiBOT
12-02-2018 17:24:06:986 - I: 	Loaded bot ..\Reference Bots\EnemyBot
12-02-2018 17:24:06:986 - I: 	Registered player upiBOT
12-02-2018 17:24:06:998 - I: 	Registered player vsBOT
12-02-2018 17:24:07:026 - I: 		OK!
12-02-2018 17:24:07:750 - I: 	Added Command PlaceShipCommand for Player upiBOT
12-02-2018 17:24:07:980 - I: 	Added Command PlaceShipCommand for Player vsBOT
12-02-2018 17:24:07:981 - D: 	Beginning round processing
12-02-2018 17:24:07:985 - D: 	Processing Player Commands
12-02-2018 17:24:07:995 - D: 	Killing off players who have no ships left
12-02-2018 17:24:07:995 - D: 	Round processing complete
