
13-02-2018 09:34:03:350 - I: 	Loaded bot ..\Reference Bots\upiBOT
13-02-2018 09:34:03:366 - I: 	Loaded bot ..\Reference Bots\botBaru
13-02-2018 09:34:03:366 - I: 	Registered player upiBOT
13-02-2018 09:34:03:366 - I: 	Registered player cisituBOT
13-02-2018 09:34:03:385 - I: 		OK!
13-02-2018 09:34:04:111 - I: 	Added Command PlaceShipCommand for Player upiBOT
13-02-2018 09:34:04:337 - I: 	Added Command PlaceShipCommand for Player cisituBOT
13-02-2018 09:34:04:341 - D: 	Beginning round processing
13-02-2018 09:34:04:349 - D: 	Processing Player Commands
13-02-2018 09:34:04:371 - D: 	Killing off players who have no ships left
13-02-2018 09:34:04:371 - D: 	Round processing complete
