
11-02-2018 14.58.56.096 - I: 	Loaded bot ..\Reference Bots\upiBOT
11-02-2018 14.58.56.114 - I: 	Loaded bot ..\Reference Bots\molBOT
11-02-2018 14.58.56.114 - I: 	Registered player upiBOT
11-02-2018 14.58.56.114 - I: 	Registered player mldBOT
11-02-2018 14.58.56.159 - I: 		OK!
11-02-2018 14.58.56.912 - I: 	Added Command PlaceShipCommand for Player upiBOT
11-02-2018 14.58.57.377 - I: 	Added Command DoNothingCommand for Player mldBOT
11-02-2018 14.58.57.381 - D: 	Beginning round processing
11-02-2018 14.58.57.390 - D: 	Processing Player Commands
11-02-2018 14.58.57.422 - E: 	Failed to process command DoNothingCommand for player mldBOTGameEngine.Exceptions.InvalidCommandException: There was a problem during the placement of player's mldBOT ships (DoNothing), the round will be played over
   at GameEngine.Engine.GameRoundProcessor.ProcessPlayerCommands() in C:\Development\Entelect Challenge\2017-Battleships\GameEngine\Battleships\GameEngine\Engine\GameRoundProcessor.cs:line 215
