
13-02-2018 10:01:54:044 - I: 	Loaded bot ..\Reference Bots\upiBOT
13-02-2018 10:01:54:050 - I: 	Loaded bot ..\Reference Bots\botBaru
13-02-2018 10:01:54:050 - I: 	Registered player upiBOT
13-02-2018 10:01:54:050 - I: 	Registered player cisituBOT
13-02-2018 10:01:54:074 - I: 		OK!
13-02-2018 10:01:54:351 - I: 	Added Command PlaceShipCommand for Player upiBOT
13-02-2018 10:01:54:498 - I: 	Added Command DoNothingCommand for Player cisituBOT
13-02-2018 10:01:54:498 - D: 	Beginning round processing
13-02-2018 10:01:54:498 - D: 	Processing Player Commands
13-02-2018 10:01:54:513 - E: 	Failed to process command DoNothingCommand for player cisituBOTGameEngine.Exceptions.InvalidCommandException: There was a problem during the placement of player's cisituBOT ships (DoNothing), the round will be played over
   at GameEngine.Engine.GameRoundProcessor.ProcessPlayerCommands() in C:\Development\Entelect Challenge\2017-Battleships\GameEngine\Battleships\GameEngine\Engine\GameRoundProcessor.cs:line 215
